DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Austria,2021,4535712,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Austria,2022,4553444,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Austria,2023,4619957,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Austria,2024,4643918,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2015,4817181,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2016,4870002,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2017,4918771,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2018,4960058,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2019,4999053,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2020,5039100,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2021,5065288,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2022,5081846,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2023,5087516,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Azerbaijan,2024,5113564,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2015,5713206,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2016,5741853,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2017,5762455,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2018,5784371,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2019,5810693,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2020,5841215,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2021,5854293,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2022,5883978,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2023,5946649,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belgium,2024,5981093,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2015,3621883,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2016,3578998,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2017,3537549,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2018,3494184,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2019,3450251,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2020,3405861,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2021,3389807,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2022,3364303,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2023,3348207,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Bulgaria,2024,3347783,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belarus,2015,5071671,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belarus,2016,5077522,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belarus,2017,5078185,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belarus,2018,5070289,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Belarus,2019,5059429,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2015,4163786,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2016,4205655,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2017,4246113,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2018,4277696,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2019,4307406,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2020,4337170,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2021,4367701,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2022,4400588,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2023,4435432,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Switzerland,2024,4510726,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2015,441559,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2016,442623,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2017,445880,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2018,450423,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2019,455583,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2020,459191,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2021,458357,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2022,463622,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2023,483955,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Cyprus,2024,490771,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2015,5361348,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2016,5367513,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2017,5378133,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2018,5390264,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2019,5405606,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2020,5421943,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2021,5323934,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2022,5332932,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2023,5519006,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Czechia,2024,5557945,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2015,41362080,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2016,41661561,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2017,41824535,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2018,41948786,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2019,42052522,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2020,42129098,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2021,42128512,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2022,42170339,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2023,42198796,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany,2024,42294114,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2015,41362080,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2016,41661561,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2017,41824535,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2018,41948786,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2019,42052522,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2020,42129098,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2021,42128512,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2022,42170339,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2023,42198796,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Germany including former GDR,2024,42294114,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2015,2848701,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2016,2869364,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2017,2888591,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2018,2904717,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2019,2917008,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2020,2925845,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2021,2935188,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2022,2950505,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2023,2983655,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Denmark,2024,2997558,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2015,173478676,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2016,173889081,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2017,174241357,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2018,174560597,p,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2019,174651001,bep,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2020,175074173,p,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2021,175100716,bp,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2022,175243774,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2023,176058904,bp,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),2024,176690588,p,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area – 20 countries (from 2023),2022,177243786,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area – 20 countries (from 2023),2023,178047932,bp,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Euro area – 20 countries (from 2023),2024,178677145,p,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2015,700166,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2016,699236,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2017,698097,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2018,698049,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2019,699185,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2020,699699,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2021,699153,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2022,698381,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2023,718518,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Estonia,2024,723074,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2015,260865151,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2016,261489904,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2017,262061005,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2018,262583496,p,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2019,262851801,bep,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2015,263051240,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2016,263657776,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2017,264210008,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2018,264707190,p,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2019,264955475,bep,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2015,6913804,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2016,6976972,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2017,7041680,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2018,7095018,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2019,7144052,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2020,7194913,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2021,7239247,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2022,7291458,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2023,7366735,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,European Free Trade Association,2024,7472386,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2015,5589628,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2016,5559538,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2017,5546916,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2018,5531125,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2019,5516306,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2020,5503077,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2021,5482584,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2022,5345035,b,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2023,5320643,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Greece,2024,5303827,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Spain,2015,23603001,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Spain,2016,23612439,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Spain,2017,23666286,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Spain,2018,23755470,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Spain,2019,23902168,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Spain,2020,24107382,,
ESTAT:DEMO_PJANGROUP$DEFAULTVIEW(1.0),24/04/25 23:00:00,Annual,Number,Females,Total,Spain,2021,24152187,,
